stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,out_of_service
200360,200360,"Ctra. Sant Vicenç",Pal,41.37139519,1.98892726,https://app.ambmobilitat.cat/stops/busamb:200360,0,0
200361,200361,"Av. Prat de la Riba - Mestre Falla",Marquesina,41.41633242,1.99912636,https://app.ambmobilitat.cat/stops/busamb:200361,0,0
200362,200362,"Av. Prat de la Riba - Comerç",Pal,41.41272629,2.00093987,https://app.ambmobilitat.cat/stops/busamb:200362,0,0
200363,200363,"Av. Prat de la Riba - Carrer J",Pal,41.4099709,2.00230344,https://app.ambmobilitat.cat/stops/busamb:200363,0,0
200364,200364,"Av. Prat de la Riba - Riera Manyà",Pal,41.4105533,2.00222565,https://app.ambmobilitat.cat/stops/busamb:200364,0,0
200365,200365,"Av. Prat de la Riba - Comerç",Pal,41.41312005,2.00091673,https://app.ambmobilitat.cat/stops/busamb:200365,0,0
200366,200366,"Quatre Camins",Pal,41.40646752,2.00560658,https://app.ambmobilitat.cat/stops/busamb:200366,0,0
200367,200367,"Quatre Camins",Pal,41.40583331,2.00643068,https://app.ambmobilitat.cat/stops/busamb:200367,0,0
200368,200368,"Carrer D - Carrer B",Pal,41.40262093,1.99757001,https://app.ambmobilitat.cat/stops/busamb:200368,0,0
200369,200369,"Carrer E - Carrer C",Pal,41.40340355,2.0016235,https://app.ambmobilitat.cat/stops/busamb:200369,0,0
200370,200370,"Carrer C - Carrer E",Pal,41.40366157,2.00125067,https://app.ambmobilitat.cat/stops/busamb:200370,0,0
200371,200371,"Carrer C - Carrer D",Pal,41.40276277,1.99853694,https://app.ambmobilitat.cat/stops/busamb:200371,0,0
200372,200372,"CAP El Serral",Pal,41.39874494,2.0094066,https://app.ambmobilitat.cat/stops/busamb:200372,0,0
200373,200373,"Ctra. de Sant Boi",Pal,41.3888487,2.01393081,https://app.ambmobilitat.cat/stops/busamb:200373,0,0
200374,200374,"Ctra. Torrelles - Av. de les Planes",Pal,41.38307659,2.00019991,https://app.ambmobilitat.cat/stops/busamb:200374,0,0
200375,200375,"Ctra. Torrelles - Av. Barcelona",Pal,41.38254618,1.9973266,https://app.ambmobilitat.cat/stops/busamb:200375,0,0
200376,200376,"Av. Central de Sant Antoni",Pal,41.37942844,1.99491998,https://app.ambmobilitat.cat/stops/busamb:200376,0,0
200377,200377,"Ctra. de Torrelles - Pujada de la Selva",Pal,41.37879271,1.9930126,https://app.ambmobilitat.cat/stops/busamb:200377,0,0
200378,200378,"Ctra. de Torrelles - Ter",Pal,41.37951197,1.99524788,https://app.ambmobilitat.cat/stops/busamb:200378,0,0
200379,200379,"Ctra. de Sant Boi - Llobregat",Marquesina,41.4005195,2.00785963,https://app.ambmobilitat.cat/stops/busamb:200379,0,0
112655,112655,"Hospital de Sant Boi",Pal,41.35456165,2.03131287,https://app.ambmobilitat.cat/stops/busamb:112655,0,0
112656,112656,"La Parellada",Pal,41.34044696,2.04773335,https://app.ambmobilitat.cat/stops/busamb:112656,0,0
112657,112657,"Pablo Picasso - Joaquim Auger",Pal,41.35242488,2.03186607,https://app.ambmobilitat.cat/stops/busamb:112657,0,0
200380,200380,"Polígon el Congost (dir. Sant Andreu)",Pal,41.46123006,1.95198788,https://app.ambmobilitat.cat/stops/busamb:200380,0,0
200381,200381,"Polígon el Congost (dir. Valldaina)",Pal,41.46132484,1.9519282,https://app.ambmobilitat.cat/stops/busamb:200381,0,0
200382,200382,"Estació d'FGC del Palau",Pal,41.4556703,1.9623459,https://app.ambmobilitat.cat/stops/busamb:200382,0,0
200383,200383,"Montserrat - Bruc",Banderola,41.45406026,1.95540501,https://app.ambmobilitat.cat/stops/busamb:200383,0,0
200384,200384,"Pedraforca - Montjuïc",Pal,41.45305267,1.95767483,https://app.ambmobilitat.cat/stops/busamb:200384,0,0
200385,200385,"Serra del Cadí - Pedraforca",Pal,41.45185615,1.95595553,https://app.ambmobilitat.cat/stops/busamb:200385,0,0
200386,200386,"Pirineus - Montjuïc",Banderola,41.45190906,1.95865719,https://app.ambmobilitat.cat/stops/busamb:200386,0,0
200387,200387,"Plaça Major",Pal,41.45089982,1.95960133,https://app.ambmobilitat.cat/stops/busamb:200387,0,0
200388,200388,"Pirineus - Mont Blanc",Pal,41.44882879,1.95679439,https://app.ambmobilitat.cat/stops/busamb:200388,0,0
200389,200389,"Muntanya - Av. Catalunya",Banderola,41.44884778,1.95404178,https://app.ambmobilitat.cat/stops/busamb:200389,0,0
200390,200390,"Olivers - Montsolís",Banderola,41.44722494,1.95728256,https://app.ambmobilitat.cat/stops/busamb:200390,0,0
200391,200391,"Clavell - Camèlia",Banderola,41.44743656,1.96052401,https://app.ambmobilitat.cat/stops/busamb:200391,0,0
200392,200392,"Pau Negre - Camèlia",Banderola,41.44914701,1.96052065,https://app.ambmobilitat.cat/stops/busamb:200392,0,0
200393,200393,"Institut Montserrat Roig",Banderola,41.44548546,1.9756121,https://app.ambmobilitat.cat/stops/busamb:200393,0,0
200394,200394,"Escola Sant Andreu de la Barca",Pal,41.4435381,1.97835198,https://app.ambmobilitat.cat/stops/busamb:200394,0,0
200395,200395,"Comerç, 44",Banderola,41.45931592,1.95247269,https://app.ambmobilitat.cat/stops/busamb:200395,0,0
200396,200396,"Can Salvi",Banderola,41.44794319,1.96502207,https://app.ambmobilitat.cat/stops/busamb:200396,0,0
200397,200397,"Cervantes",Banderola,41.44429086,1.96840903,https://app.ambmobilitat.cat/stops/busamb:200397,0,0
200398,200398,"Ctra. Cerdanyola - Av. de les Roquetes (Can Magí)",Pal,41.4766721,2.09595008,https://app.ambmobilitat.cat/stops/busamb:200398,0,0
200399,200399,"Rambla del Celler - Plaça de la Pelleria",Marquesina,41.47400168,2.09332419,https://app.ambmobilitat.cat/stops/busamb:200399,0,0
200400,200400,"Rambla del Celler - Pg. Torre Blanca",Marquesina,41.47199349,2.08955704,https://app.ambmobilitat.cat/stops/busamb:200400,0,0
200401,200401,"Rambla del Celler - C. Sant Medir",Marquesina,41.47176087,2.08566046,https://app.ambmobilitat.cat/stops/busamb:200401,0,0
200402,200402,"Pl. dels Quatre Cantons",Pal,41.47121221,2.08235195,https://app.ambmobilitat.cat/stops/busamb:200402,0,0
200403,200403,"Av. Lluís Companys, 19",Marquesina,41.47119262,2.07892543,https://app.ambmobilitat.cat/stops/busamb:200403,0,0
200404,200404,"C. dels Safareigs",Marquesina,41.46672494,2.07845729,https://app.ambmobilitat.cat/stops/busamb:200404,0,0
200406,200406,"Rambla del Celler (Parc de la Pollancreda)",Marquesina,41.47342541,2.09324239,https://app.ambmobilitat.cat/stops/busamb:200406,0,0
