key,value,definition
ramp:bicycle,yes,ramp:bicycle=yes
ramp:stroller,yes,ramp:stroller=yes
ramp:wheelchair,no,ramp:wheelchair=no
ramp:wheelchair,yes,ramp:wheelchair=yes
ramp,no,ramp=no
ramp,yes,ramp=yes
razed:building,yes,razed:building=yes
rcn,yes,rcn=yes
recycling:batteries,yes,recycling:batteries=yes
recycling:beverage_cartons,yes,recycling:beverage_cartons=yes
recycling:cans,yes,recycling:cans=yes
recycling:cardboard,yes,recycling:cardboard=yes
recycling:clothes,yes,recycling:clothes=yes
recycling:glass_bottles,yes,recycling:glass_bottles=yes
recycling:glass,no,recycling:glass=no
recycling:glass,yes,recycling:glass=yes
recycling:green_waste,yes,recycling:green_waste=yes
recycling:magazines,yes,recycling:magazines=yes
recycling:newspaper,yes,recycling:newspaper=yes
recycling:organic,yes,recycling:organic=yes
recycling:paper_packaging,yes,recycling:paper_packaging=yes
recycling:paper,yes,recycling:paper=yes
recycling:plastic_bottles,yes,recycling:plastic_bottles=yes
recycling:plastic_packaging,yes,recycling:plastic_packaging=yes
recycling:plastic,no,recycling:plastic=no
recycling:plastic,yes,recycling:plastic=yes
recycling:scrap_metal,yes,recycling:scrap_metal=yes
recycling:shoes,yes,recycling:shoes=yes
recycling:waste,yes,recycling:waste=yes
ref:signed,no,ref:signed=no
removed:building,yes,removed:building=yes
reservation,no,reservation=no
reservation,yes,reservation=yes
review,no,review=no
roof:downpipe,no,roof:downpipe=no
roundtrip,no,roundtrip=no
roundtrip,yes,roundtrip=yes
ruins:building,yes,ruins:building=yes
ruins,yes,ruins=yes
salt,no,salt=no
salt,yes,salt=yes
sanitary_dump_station,yes,sanitary_dump_station=yes
scenic,yes,scenic=yes
seasonal,no,seasonal=no
seasonal,yes,seasonal=yes
second_hand,yes,second_hand=yes
segregated,no,segregated=no
segregated,yes,segregated=yes
self_service,no,self_service=no
self_service,yes,self_service=yes
service:bicycle:pump,yes,service:bicycle:pump=yes
service:bicycle:repair,yes,service:bicycle:repair=yes
service:bicycle:retail,yes,service:bicycle:retail=yes
service:bicycle:tools,yes,service:bicycle:tools=yes
service:vehicle:car_repair,yes,service:vehicle:car_repair=yes
service:vehicle:tyres,yes,service:vehicle:tyres=yes
share_taxi,yes,share_taxi=yes
shelter,no,shelter=no
shelter,yes,shelter=yes
ship,no,ship=no
shop,yes,shop=yes
shoulder:right,yes,shoulder:right=yes
shoulder,no,shoulder=no
shoulder,yes,shoulder=yes
shower,yes,shower=yes
sidewalk:both,no,sidewalk:both=no
sidewalk:both,yes,sidewalk:both=yes
sidewalk:left,no,sidewalk:left=no
sidewalk:left,yes,sidewalk:left=yes
sidewalk:right,no,sidewalk:right=no
sidewalk:right,yes,sidewalk:right=yes
sidewalk,no,sidewalk=no
ski,no,ski=no
ski,yes,ski=yes
smoking,no,smoking=no
smoking,yes,smoking=yes
snowmobile,no,snowmobile=no
snowmobile,yes,snowmobile=yes
snowplowing,yes,snowplowing=yes
source_type_imagery,yes,source_type_imagery=yes
stairs,yes,stairs=yes
stilts,yes,stilts=yes
stroller,yes,stroller=yes
subway,yes,subway=yes
supervised,no,supervised=no
supervised,yes,supervised=yes
tactile_paving,no,tactile_paving=no
tactile_paving,yes,tactile_paving=yes
takeaway,no,takeaway=no
takeaway,yes,takeaway=yes
taxi,yes,taxi=yes
tents,yes,tents=yes
tidal,no,tidal=no
tidal,yes,tidal=yes
tiger:reviewed,no,tiger:reviewed=no
tiger:reviewed,yes,tiger:reviewed=yes
tiger:separated,no,tiger:separated=no
toilets:handwashing,no,toilets:handwashing=no
toilets:handwashing,yes,toilets:handwashing=yes
toilets:wheelchair,no,toilets:wheelchair=no
toilets:wheelchair,yes,toilets:wheelchair=yes
toilets,no,toilets=no
toilets,yes,toilets=yes
toll:bus,yes,toll:bus=yes
toll:hgv,yes,toll:hgv=yes
toll,no,toll=no
toll,yes,toll=yes
tourist_bus,no,tourist_bus=no
traffic_calming,no,traffic_calming=no
traffic_calming,yes,traffic_calming=yes
traffic_sign,yes,traffic_sign=yes
traffic_signals:countdown,yes,traffic_signals:countdown=yes
traffic_signals:sound,no,traffic_signals:sound=no
traffic_signals:sound,yes,traffic_signals:sound=yes
traffic_signals:vibration,no,traffic_signals:vibration=no
traffic_signals:vibration,yes,traffic_signals:vibration=yes
trail_visibility,no,trail_visibility=no
trailblazed,no,trailblazed=no
trailblazed,yes,trailblazed=yes
train,yes,train=yes
tram,yes,tram=yes
triple_tower,yes,triple_tower=yes
trolley_wire,no,trolley_wire=no
trolley_wire,yes,trolley_wire=yes
trolleybus,yes,trolleybus=yes
tunnel,no,tunnel=no
tunnel,yes,tunnel=yes
two_sided,yes,two_sided=yes
typhoon:damage,yes,typhoon:damage=yes
typhoon:reviewed,yes,typhoon:reviewed=yes
unisex,yes,unisex=yes
vehicle,no,vehicle=no
vehicle,yes,vehicle=yes
