stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
"PF43905102","Av. Principat d'Andorra (Apartaments CYE Salou)","",41.07611895578879,1.1446428305927425,,,0,,
"PF43905207","Av. Batlle Pere Molas - Rbla. del Parc (H. Caribe)","",41.08201019757484,1.1485840846377162,,,0,,
"PF43171127","Av. Alcalde Pere Molas (parada - enfront Decatlon)","",41.09577585935454,1.1520913809550124,,,0,,
"PF43905036","Port Aventura - Visitants","",41.08728103271085,1.1526029343493034,,,0,,
"PF43171129","Av. Alcalde Pere Molas (parada - Decatlon)","",41.09571916574253,1.1519262753627084,,,0,,
"PF43905144","Pl. Europa (Hotel Salou Princess)","",41.07634762682365,1.1440204043463698,,,0,,
"PF43148080","Tarragona (Estació del Camp)","",41.11618322295241,1.2457576745819683,,,0,,
"PF43163042","El Vendrell (estació d'autobusos) sentit Tarragona","",41.2184884205461,1.5363736802075085,,,0,,
"PF43016003","Av. dels Herois de 1808, 84","",41.26557499885811,1.604554731074792,,,0,,
"PF08305010","Vilafranca del Penedès (estació d'autobusos)","",41.34160000091129,1.7018499997864842,,,0,,
"PF08019179","av. Diagonal - Fac. Arquitectura (Zona Univ.)","",41.3848574591403,2.1140026712796143,,,0,,
"PF08019059","av. Diagonal - Palau Reial (Fac. Biologia)","",41.385885041658895,2.118789320686531,,,0,,
"PF08019086","av. Diagonal - pl. Maria Cristina (Caixabanc)","",41.38785378827331,2.1265478906431934,,,0,,
"PF17186001","Sarrià de Ter","",42.015862667048744,2.817775423667205,,,0,,
"PF17123002","Riudellots de la Creu","",42.057196875042266,2.8139663787779488,,,0,,
"PF17123000","la Banyeta","",42.07250259866788,2.816186340960773,,,0,,
"PF17056001","Cornellà del Terri","",42.086501913257315,2.8153464704461264,,,0,,
"PF17056000","Borgonyà del Terri","",42.10112279028638,2.7910161497387582,,,0,,
"PF17137000","c. Sant Andreu (marquesina)","",42.10729120539849,2.780806049237125,,,0,,
"PF17015000","Banyoles","",42.117381993797494,2.764406010210619,,,0,,
"PF17015007","Banyoles - V. OLÍMPICA  (direcció Olot)","",42.12481382722936,2.762946029135219,,,0,,
"PF17190000","Serinyà","",42.157206844595294,2.7467249068211887,,,0,,
"PF17019000","Besalú","",42.20029595016161,2.697595988950378,,,0,,
"PF17010000","Argelaguer","",42.216014615757395,2.6421759380781196,,,0,,
"PF17165000","Sant Jaume de Llierca","",42.213234172884434,2.6068142237874747,,,0,,
"PF17109002","Montagut (encreuament)","",42.22004834843437,2.5819593670475465,,,0,,
"PF17046000","Castellfollit de la Roca","",42.21912391706993,2.547195018974453,,,0,,
"PF17185001","Sant Joan les Fonts","",42.21244443451991,2.512804447815812,,,0,,
"PF17185000","la Canya","",42.20717750804573,2.4975538341645183,,,0,,
"PF17114000","Olot (estació d'autobusos)","",42.18071617110721,2.491253828410452,,,0,,
"PF08035015","Hospital de Sant Jaume","",41.614899807478025,2.6562101388447523,,,0,,
"PF08035027","c. Sant Jaume (Mercat) MB0307","",41.61594605497652,2.659710120029697,,,0,,
"PF08035013","c. Sant Jaume (pl. Roses) MB0304","",41.61990907871405,2.665794164112965,,,0,,
"PF08163025","Poble Nou","",41.62321550832189,2.6739032990851404,,,0,,
"PF08163013","les Creus (c.Garbí - c.Mestral)","",41.62511150594045,2.6786919446032074,,,0,,
"PF08163005","c. Sant Joan (Església)","",41.62912797331204,2.689894026039169,,,0,,
