route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0151,185331,1604554,,,1,,,
0057,185462,1603562,,,1,,,
0642,184735,1603672,,,0,,,
0642,184732,1603679,,,1,,,
0642,184732,1603684,,,0,,,
0642,184732,1603685,,,0,,,
0642,184749,1603714,,,1,,,
0642,184732,1603718,,,1,,,
0642,184732,1603726,,,1,,,
0642,184732,1603728,,,1,,,
0642,184732,1603734,,,1,,,
0642,184732,1603736,,,1,,,
0642,184732,1603737,,,1,,,
1114,184732,1603822,,,1,,,
1624,184732,1603826,,,0,,,
0170,184683,1603888,,,1,,,
0755,184732,1603895,,,0,,,
0647,184732,1603910,,,1,,,
1536,184814,1603987,,,1,,,
0968,184735,1595241,,,1,,,
1587,185380,1595343,,,1,,,
0056,184732,1595378,,,1,,,
0664,184886,1595419,,,1,,,
0720,184732,1595539,,,1,,,
1110,184735,1595541,,,1,,,
1110,184994,1595542,,,1,,,
1110,184994,1595544,,,0,,,
1716,184994,1595549,,,1,,,
0412,185487,1595586,,,0,,,
0399,184732,1595603,,,1,,,
1037,184732,1595620,,,1,,,
1114,184732,1595682,,,1,,,
0720,184732,1595685,,,1,,,
0472,184732,1595775,,,0,,,
1283,185080,1595907,,,1,,,
0815,184709,1595915,,,1,,,
1283,185380,1595978,,,1,,,
1757,184862,1596030,,,1,,,
1758,184732,1596039,,,0,,,
1758,184732,1596040,,,0,,,
1758,184732,1596044,,,0,,,
1758,184732,1596054,,,0,,,
0210,184862,1596105,,,0,,,
1526,184886,1596151,,,1,,,
0096,184735,1596206,,,0,,,
0096,184735,1596219,,,1,,,
0096,185380,1596222,,,1,,,
0647,184732,1596258,,,1,,,
1309,185086,1595036,,,1,,,
0156,184870,1595194,,,1,,,
0744,184994,1594130,,,1,,,
0151,185331,1594140,,,1,,,
0744,184870,1594171,,,0,,,
0968,184732,1594218,,,1,,,
0173,184861,1594234,,,0,,,
0358,184734,1594282,,,1,,,
0968,184732,1594407,,,1,,,
0968,184732,1594410,,,1,,,
0717,185053,1594424,,,1,,,
0717,184732,1594442,,,0,,,
0663,185380,1594604,,,1,,,
1424,184732,1594621,,,1,,,
1754,184732,1605678,,,1,,,
0311,184709,1605683,,,1,,,
0663,185377,1605769,,,1,,,
0663,184749,1605774,,,1,,,
1787,184862,1605780,,,0,,,
0663,184735,1607094,,,1,,,
0663,185380,1607103,,,1,,,
0663,185377,1607330,,,0,,,
1748,185461,1607381,,,1,,,
0524,184735,1607399,,,0,,,
0524,184735,1607405,,,0,,,
0096,184749,1607448,,,1,,,
0096,184749,1607449,,,1,,,
0096,185380,1607450,,,1,,,
0096,184749,1607455,,,1,,,
0096,184749,1607464,,,0,,,
0096,184749,1607466,,,0,,,
0663,185380,1607530,,,1,,,
0663,185380,1607542,,,1,,,
0663,184749,1607549,,,1,,,
0663,184735,1607558,,,1,,,
1829,185922,1607559,,,1,,,
1847,186279,1608020,,,0,,,
0524,184749,1606733,,,0,,,
0399,184994,1606734,,,1,,,
1819,185459,1606799,,,0,,,
0552,184732,1606814,,,0,,,
1008,186065,1606035,,,0,,,
1008,186065,1606036,,,0,,,
1008,186065,1606038,,,0,,,
1008,186065,1606042,,,0,,,
0663,185380,1606131,,,0,,,
0663,185377,1606134,,,0,,,
