service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,name
185643,0,0,0,0,0,0,0,20250601,20260601,"Diari. Del 20/05 al 10/10"
185646,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/04 al 31/05"
184629,0,0,0,0,0,0,0,20250601,20260601,"Dilluns"
185658,0,0,0,0,0,0,0,20250601,20260601,"Diari. Del 21/06 al 30/09"
184634,0,0,0,0,0,0,0,20250601,20260601,"Dijous excepte agost"
185659,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners del 12/09 al 27/06"
185657,0,0,0,0,0,0,0,20250601,20260601,"Diari. De dilluns de Setmana Santa al 31 d'octubre"
184638,0,0,0,0,0,0,0,20250601,20260601,"Dijous feiners de l'1/10 al 30/6"
184639,0,0,0,0,0,0,0,20250601,20260601,"Dilluns lectius"
184636,0,0,0,0,0,0,0,20250601,20260601,"Feiners. De l'1/11 al 31/03"
185660,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners dels mesos de maig, juny, juliol, setembre i octubre"
184637,0,0,0,0,0,0,0,20250601,20260601,"Dijous feiners del 30/06 al 01/09"
184642,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners de juliol"
184646,0,0,0,0,0,0,0,20250601,20260601,"Dimarts feiners excepte Setmana Santa, Nadal i de l'1-7 al 14-9"
185674,0,0,0,0,0,0,0,20250601,20260601,"Feiners de l'1/05 al 31/05 i del 26/09 al 25/10. Dissabtes i diumenges de l'1/06 al 25/09"
185675,0,0,0,0,0,0,0,20250601,20260601,"Diari. De l'1/05 al 19/05 i de l'11/10 al 31/10. Setmana Santa i setmana posterior"
184649,0,0,0,0,0,0,0,20250601,20260601,"Diari juliol i agost"
185673,0,0,0,0,0,0,0,20250601,20260601,"Feiners excepte dimarts i dijous"
185678,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners del 22/06 al 9/09"
184654,0,0,0,0,0,0,0,20250601,20260601,"Dissabte abans del diumenge de Rams"
185679,0,0,0,0,0,0,0,20250601,20260601,"De dilluns a divendres feiners de Setmana Santa"
